YEAR,COUNTY,MSSA_ID,MSSA_NAME,MSSA_TYPE,Race_ethnicity,Population,Adolescent_births,Indicator,Annotation,Indicator_rate,Indicator_ll,Indicator_ul
2010-2012,Sierra,191,Alleghany/Calpine/Downieville/Goodyear Bar/Sattley/Sierra City/Sierraville,Frontier,WHITE,198,0,PBHP,,0,,
2010-2012,Siskiyou,193,Happy Camp,Frontier,ASIAN,0,0,ABR,,0,,
2010-2012,Siskiyou,193,Happy Camp,Frontier,ASIAN,0,0,PRB,,0,,
2010-2012,Siskiyou,193,Happy Camp,Frontier,ASIAN,0,0,PBHP,,0,,
2010-2012,Siskiyou,193,Happy Camp,Frontier,BLACK,0,0,ABR,,0,,
2010-2012,Siskiyou,193,Happy Camp,Frontier,BLACK,0,0,PRB,,0,,
2010-2012,Siskiyou,193,Happy Camp,Frontier,BLACK,0,0,PBHP,,0,,
2010-2012,Siskiyou,194,Etna/Fort Jones/Greenview,Frontier,ASIAN,3,0,ABR,,0,,
2010-2012,Siskiyou,194,Etna/Fort Jones/Greenview,Frontier,ASIAN,3,0,PRB,,0,,
2010-2012,Siskiyou,194,Etna/Fort Jones/Greenview,Frontier,ASIAN,3,0,PBHP,,0,,
2010-2012,Siskiyou,194,Etna/Fort Jones/Greenview,Frontier,BLACK,6,0,ABR,,0,,
2010-2012,Siskiyou,194,Etna/Fort Jones/Greenview,Frontier,BLACK,6,0,PRB,,0,,
2010-2012,Siskiyou,194,Etna/Fort Jones/Greenview,Frontier,BLACK,6,0,PBHP,,0,,
2010-2012,Siskiyou,194,Etna/Fort Jones/Greenview,Frontier,HISP,31,0,ABR,,0,,
2010-2012,Siskiyou,194,Etna/Fort Jones/Greenview,Frontier,HISP,31,0,PRB,,0,,
2010-2012,Siskiyou,194,Etna/Fort Jones/Greenview,Frontier,HISP,31,0,PBHP,,0,,
2010-2012,Siskiyou,195,Gazelle/Grenada/Hilt/Hornbrook/Yreka,Rural,BLACK,8,0,ABR,,0,,
2010-2012,Siskiyou,195,Gazelle/Grenada/Hilt/Hornbrook/Yreka,Rural,BLACK,8,0,PRB,,0,,
2010-2012,Siskiyou,195,Gazelle/Grenada/Hilt/Hornbrook/Yreka,Rural,BLACK,8,0,PBHP,,0,,
2010-2012,Siskiyou,196,Tulelake,Frontier,ASIAN,0,0,ABR,,0,,
2010-2012,Siskiyou,196,Tulelake,Frontier,ASIAN,0,0,PRB,,0,,
2010-2012,Siskiyou,196,Tulelake,Frontier,ASIAN,0,0,PBHP,,0,,
2010-2012,Siskiyou,196,Tulelake,Frontier,BLACK,0,0,ABR,,0,,
2010-2012,Siskiyou,196,Tulelake,Frontier,BLACK,0,0,PRB,,0,,
2010-2012,Siskiyou,196,Tulelake,Frontier,BLACK,0,0,PBHP,,0,,
2010-2012,Siskiyou,196,Tulelake,Frontier,WHITE,29,0,ABR,,0,,
2010-2012,Siskiyou,196,Tulelake,Frontier,WHITE,29,0,PRB,,0,,
2010-2012,Siskiyou,196,Tulelake,Frontier,WHITE,29,0,PBHP,,0,,
2010-2012,Siskiyou,197,Carrick/Edgewood/Mount Shasta/Weed,Rural,ASIAN,38,0,ABR,,0,,
2010-2012,Siskiyou,197,Carrick/Edgewood/Mount Shasta/Weed,Rural,ASIAN,38,0,PRB,,0,,
2010-2012,Siskiyou,197,Carrick/Edgewood/Mount Shasta/Weed,Rural,ASIAN,38,0,PBHP,,0,,
2010-2012,Siskiyou,198,Dunsmuir,Rural,ASIAN,0,0,ABR,,0,,
2010-2012,Siskiyou,198,Dunsmuir,Rural,ASIAN,0,0,PRB,,0,,
2010-2012,Siskiyou,198,Dunsmuir,Rural,ASIAN,0,0,PBHP,,0,,
2010-2012,Siskiyou,198,Dunsmuir,Rural,BLACK,0,0,ABR,,0,,
2010-2012,Siskiyou,198,Dunsmuir,Rural,BLACK,0,0,PRB,,0,,
2010-2012,Siskiyou,198,Dunsmuir,Rural,BLACK,0,0,PBHP,,0,,
2010-2012,Siskiyou,199,McCloud/Tennant,Frontier,ASIAN,0,0,ABR,,0,,
2010-2012,Siskiyou,199,McCloud/Tennant,Frontier,ASIAN,0,0,PRB,,0,,
2010-2012,Siskiyou,199,McCloud/Tennant,Frontier,ASIAN,0,0,PBHP,,0,,
2010-2012,Siskiyou,199,McCloud/Tennant,Frontier,BLACK,0,0,ABR,,0,,
2010-2012,Siskiyou,199,McCloud/Tennant,Frontier,BLACK,0,0,PRB,,0,,
2010-2012,Siskiyou,199,McCloud/Tennant,Frontier,BLACK,0,0,PBHP,,0,,
2010-2012,Siskiyou,199,McCloud/Tennant,Frontier,HISP,15,0,ABR,,0,,
2010-2012,Siskiyou,199,McCloud/Tennant,Frontier,HISP,15,0,PRB,,0,,
2010-2012,Siskiyou,199,McCloud/Tennant,Frontier,HISP,15,0,PBHP,,0,,
2010-2012,Siskiyou,200,Dorris/Macdoel/Mount Hebron,Frontier,ASIAN,0,0,ABR,,0,,
2010-2012,Siskiyou,200,Dorris/Macdoel/Mount Hebron,Frontier,ASIAN,0,0,PRB,,0,,
2010-2012,Siskiyou,200,Dorris/Macdoel/Mount Hebron,Frontier,ASIAN,0,0,PBHP,,0,,
2010-2012,Siskiyou,200,Dorris/Macdoel/Mount Hebron,Frontier,BLACK,3,0,ABR,,0,,
2010-2012,Siskiyou,200,Dorris/Macdoel/Mount Hebron,Frontier,BLACK,3,0,PRB,,0,,
2010-2012,Siskiyou,200,Dorris/Macdoel/Mount Hebron,Frontier,BLACK,3,0,PBHP,,0,,
2010-2012,Siskiyou,200,Dorris/Macdoel/Mount Hebron,Frontier,WHITE,97,0,ABR,,0,,
2010-2012,Siskiyou,200,Dorris/Macdoel/Mount Hebron,Frontier,WHITE,97,0,PRB,,0,,
2010-2012,Siskiyou,200,Dorris/Macdoel/Mount Hebron,Frontier,WHITE,97,0,PBHP,,0,,
2010-2012,Solano,201,Dixon,Rural,ASIAN,55,0,ABR,,0,,
2010-2012,Solano,201,Dixon,Rural,ASIAN,55,0,PRB,,0,,
2010-2012,Solano,201,Dixon,Rural,ASIAN,55,0,PBHP,,0,,
2010-2012,Solano,203.2,Rio Vista,Rural,ASIAN,9,0,ABR,,0,,
2010-2012,Solano,203.2,Rio Vista,Rural,ASIAN,9,0,PRB,,0,,
2010-2012,Solano,203.2,Rio Vista,Rural,ASIAN,9,0,PBHP,,0,,
2010-2012,Solano,203.2,Rio Vista,Rural,BLACK,22,0,ABR,,0,,
2010-2012,Solano,203.2,Rio Vista,Rural,BLACK,22,0,PRB,,0,,
2010-2012,Solano,203.2,Rio Vista,Rural,BLACK,22,0,PBHP,,0,,
2010-2012,Sonoma,205.1,Geyserville/Healdsburg,Rural,ASIAN,46,0,ABR,,0,,
2010-2012,Sonoma,205.1,Geyserville/Healdsburg,Rural,ASIAN,46,0,PRB,,0,,
2010-2012,Sonoma,205.1,Geyserville/Healdsburg,Rural,ASIAN,46,0,PBHP,,0,,
2010-2012,Sonoma,205.1,Geyserville/Healdsburg,Rural,BLACK,27,0,ABR,,0,,
2010-2012,Sonoma,205.1,Geyserville/Healdsburg,Rural,BLACK,27,0,PRB,,0,,
2010-2012,Sonoma,205.1,Geyserville/Healdsburg,Rural,BLACK,27,0,PBHP,,0,,
2010-2012,Sonoma,205.2,Windsor,Urban,BLACK,14,0,ABR,,0,,
2010-2012,Sonoma,205.2,Windsor,Urban,BLACK,14,0,PRB,,0,,
2010-2012,Sonoma,205.2,Windsor,Urban,BLACK,14,0,PBHP,,0,,
2010-2012,Sonoma,206,Cloverdale,Rural,ASIAN,0,0,ABR,,0,,
2010-2012,Sonoma,206,Cloverdale,Rural,ASIAN,0,0,PRB,,0,,
2010-2012,Sonoma,206,Cloverdale,Rural,ASIAN,0,0,PBHP,,0,,
2010-2012,Sonoma,206,Cloverdale,Rural,BLACK,10,0,ABR,,0,,
2010-2012,Sonoma,206,Cloverdale,Rural,BLACK,10,0,PRB,,0,,
2010-2012,Sonoma,206,Cloverdale,Rural,BLACK,10,0,PBHP,,0,,
2010-2012,Sonoma,207,Forestville/Fort Ross/Guerneville/Jenner/Monte Rio/Occidental/Sea Ranch,Rural,ASIAN,29,0,ABR,,0,,
2010-2012,Sonoma,207,Forestville/Fort Ross/Guerneville/Jenner/Monte Rio/Occidental/Sea Ranch,Rural,ASIAN,29,0,PRB,,0,,
2010-2012,Sonoma,207,Forestville/Fort Ross/Guerneville/Jenner/Monte Rio/Occidental/Sea Ranch,Rural,ASIAN,29,0,PBHP,,0,,
2010-2012,Sonoma,207,Forestville/Fort Ross/Guerneville/Jenner/Monte Rio/Occidental/Sea Ranch,Rural,BLACK,14,0,ABR,,0,,
2010-2012,Sonoma,207,Forestville/Fort Ross/Guerneville/Jenner/Monte Rio/Occidental/Sea Ranch,Rural,BLACK,14,0,PRB,,0,,
2010-2012,Sonoma,207,Forestville/Fort Ross/Guerneville/Jenner/Monte Rio/Occidental/Sea Ranch,Rural,BLACK,14,0,PBHP,,0,,
2010-2012,Sonoma,208,Boyes Hot Springs/Glen Ellen/Kenwood/Sonoma/Vineburg,Urban,ASIAN,61,0,ABR,,0,,
2010-2012,Sonoma,208,Boyes Hot Springs/Glen Ellen/Kenwood/Sonoma/Vineburg,Urban,ASIAN,61,0,PRB,,0,,
2010-2012,Sonoma,208,Boyes Hot Springs/Glen Ellen/Kenwood/Sonoma/Vineburg,Urban,ASIAN,61,0,PBHP,,0,,
2010-2012,Sonoma,208,Boyes Hot Springs/Glen Ellen/Kenwood/Sonoma/Vineburg,Urban,BLACK,14,0,ABR,,0,,
2010-2012,Sonoma,208,Boyes Hot Springs/Glen Ellen/Kenwood/Sonoma/Vineburg,Urban,BLACK,14,0,PRB,,0,,
2010-2012,Sonoma,208,Boyes Hot Springs/Glen Ellen/Kenwood/Sonoma/Vineburg,Urban,BLACK,14,0,PBHP,,0,,
2010-2012,Sonoma,209.2,Two Rock/Valley Ford,Rural,ASIAN,29,0,ABR,,0,,
2010-2012,Sonoma,209.2,Two Rock/Valley Ford,Rural,ASIAN,29,0,PRB,,0,,
2010-2012,Sonoma,209.2,Two Rock/Valley Ford,Rural,ASIAN,29,0,PBHP,,0,,
2010-2012,Sonoma,209.2,Two Rock/Valley Ford,Rural,BLACK,17,0,ABR,,0,,
2010-2012,Sonoma,209.2,Two Rock/Valley Ford,Rural,BLACK,17,0,PRB,,0,,
2010-2012,Sonoma,209.2,Two Rock/Valley Ford,Rural,BLACK,17,0,PBHP,,0,,
2010-2012,Sonoma,210.2,Bodega/Sebastopol,Rural,ASIAN,38,0,ABR,,0,,
2010-2012,Sonoma,210.2,Bodega/Sebastopol,Rural,ASIAN,38,0,PRB,,0,,
2010-2012,Sonoma,210.2,Bodega/Sebastopol,Rural,ASIAN,38,0,PBHP,,0,,
2010-2012,Sonoma,210.2,Bodega/Sebastopol,Rural,BLACK,7,0,ABR,,0,,
2010-2012,Sonoma,210.2,Bodega/Sebastopol,Rural,BLACK,7,0,PRB,,0,,
2010-2012,Sonoma,210.2,Bodega/Sebastopol,Rural,BLACK,7,0,PBHP,,0,,
2010-2012,Stanislaus,212.2,Keyes,Rural,ASIAN,57,0,ABR,,0,,
2010-2012,Stanislaus,212.2,Keyes,Rural,ASIAN,57,0,PRB,,0,,
2010-2012,Stanislaus,212.2,Keyes,Rural,ASIAN,57,0,PBHP,,0,,
2010-2012,Stanislaus,212.2,Keyes,Rural,BLACK,14,0,ABR,,0,,
2010-2012,Stanislaus,212.2,Keyes,Rural,BLACK,14,0,PRB,,0,,
2010-2012,Stanislaus,212.2,Keyes,Rural,BLACK,14,0,PBHP,,0,,
2010-2012,Sutter,217,Nicolaus/Pleasant Grove,Rural,ASIAN,15,0,ABR,,0,,
2010-2012,Sutter,217,Nicolaus/Pleasant Grove,Rural,ASIAN,15,0,PRB,,0,,
2010-2012,Sutter,217,Nicolaus/Pleasant Grove,Rural,ASIAN,15,0,PBHP,,0,,
2010-2012,Sutter,217,Nicolaus/Pleasant Grove,Rural,BLACK,0,0,ABR,,0,,
2010-2012,Sutter,217,Nicolaus/Pleasant Grove,Rural,BLACK,0,0,PRB,,0,,
2010-2012,Sutter,217,Nicolaus/Pleasant Grove,Rural,BLACK,0,0,PBHP,,0,,
2010-2012,Sutter,217,Nicolaus/Pleasant Grove,Rural,WHITE,181,0,ABR,,0,,
2010-2012,Sutter,217,Nicolaus/Pleasant Grove,Rural,WHITE,181,0,PRB,,0,,
2010-2012,Sutter,217,Nicolaus/Pleasant Grove,Rural,WHITE,181,0,PBHP,,0,,
2010-2012,Sutter,218,Live Oak,Rural,ASIAN,104,0,ABR,,0,,
2010-2012,Sutter,218,Live Oak,Rural,ASIAN,104,0,PRB,,0,,
2010-2012,Sutter,218,Live Oak,Rural,ASIAN,104,0,PBHP,,0,,
2010-2012,Sutter,218,Live Oak,Rural,BLACK,15,0,ABR,,0,,
2010-2012,Sutter,218,Live Oak,Rural,BLACK,15,0,PRB,,0,,
2010-2012,Sutter,218,Live Oak,Rural,BLACK,15,0,PBHP,,0,,
2010-2012,Tehama,219,Paskenta/Rancho Tehama,Frontier,ASIAN,14,0,ABR,,0,,
2010-2012,Tehama,219,Paskenta/Rancho Tehama,Frontier,ASIAN,14,0,PRB,,0,,
2010-2012,Tehama,219,Paskenta/Rancho Tehama,Frontier,ASIAN,14,0,PBHP,,0,,
2010-2012,Tehama,219,Paskenta/Rancho Tehama,Frontier,BLACK,5,0,ABR,,0,,
2010-2012,Tehama,219,Paskenta/Rancho Tehama,Frontier,BLACK,5,0,PRB,,0,,
2010-2012,Tehama,219,Paskenta/Rancho Tehama,Frontier,BLACK,5,0,PBHP,,0,,
2010-2012,El Dorado,22,Garden Valley/Georgetown/Greenwood/Kelsey/Volcanoville,Rural,ASIAN,4,0,ABR,,0,,
2010-2012,El Dorado,22,Garden Valley/Georgetown/Greenwood/Kelsey/Volcanoville,Rural,ASIAN,4,0,PRB,,0,,
2010-2012,El Dorado,22,Garden Valley/Georgetown/Greenwood/Kelsey/Volcanoville,Rural,ASIAN,4,0,PBHP,,0,,
2010-2012,El Dorado,22,Garden Valley/Georgetown/Greenwood/Kelsey/Volcanoville,Rural,BLACK,4,0,ABR,,0,,
2010-2012,El Dorado,22,Garden Valley/Georgetown/Greenwood/Kelsey/Volcanoville,Rural,BLACK,4,0,PRB,,0,,
2010-2012,El Dorado,22,Garden Valley/Georgetown/Greenwood/Kelsey/Volcanoville,Rural,BLACK,4,0,PBHP,,0,,
2010-2012,Tehama,220,Dairyville/Manton/Mineral/Paynes Creek,Frontier,ASIAN,0,0,ABR,,0,,
2010-2012,Tehama,220,Dairyville/Manton/Mineral/Paynes Creek,Frontier,ASIAN,0,0,PRB,,0,,
2010-2012,Tehama,220,Dairyville/Manton/Mineral/Paynes Creek,Frontier,ASIAN,0,0,PBHP,,0,,
2010-2012,Tehama,220,Dairyville/Manton/Mineral/Paynes Creek,Frontier,BLACK,0,0,ABR,,0,,
2010-2012,Tehama,220,Dairyville/Manton/Mineral/Paynes Creek,Frontier,BLACK,0,0,PRB,,0,,
2010-2012,Tehama,220,Dairyville/Manton/Mineral/Paynes Creek,Frontier,BLACK,0,0,PBHP,,0,,
2010-2012,Tehama,221,Gerber/Los Flores/Proberta/Red Bluff,Rural,ASIAN,39,0,ABR,,0,,
2010-2012,Tehama,221,Gerber/Los Flores/Proberta/Red Bluff,Rural,ASIAN,39,0,PRB,,0,,
2010-2012,Tehama,221,Gerber/Los Flores/Proberta/Red Bluff,Rural,ASIAN,39,0,PBHP,,0,,
2010-2012,Tehama,222,Corning/Los Molinos/Tehama/Vina,Rural,ASIAN,11,0,ABR,,0,,
2010-2012,Tehama,222,Corning/Los Molinos/Tehama/Vina,Rural,ASIAN,11,0,PRB,,0,,
2010-2012,Tehama,222,Corning/Los Molinos/Tehama/Vina,Rural,ASIAN,11,0,PBHP,,0,,
2010-2012,Tehama,222,Corning/Los Molinos/Tehama/Vina,Rural,BLACK,0,0,ABR,,0,,
2010-2012,Tehama,222,Corning/Los Molinos/Tehama/Vina,Rural,BLACK,0,0,PRB,,0,,
2010-2012,Tehama,222,Corning/Los Molinos/Tehama/Vina,Rural,BLACK,0,0,PBHP,,0,,
2010-2012,Trinity,223,Junction City/Salyer,Frontier,ASIAN,0,0,ABR,,0,,
2010-2012,Trinity,223,Junction City/Salyer,Frontier,ASIAN,0,0,PRB,,0,,
2010-2012,Trinity,223,Junction City/Salyer,Frontier,ASIAN,0,0,PBHP,,0,,
2010-2012,Trinity,223,Junction City/Salyer,Frontier,BLACK,0,0,ABR,,0,,
2010-2012,Trinity,223,Junction City/Salyer,Frontier,BLACK,0,0,PRB,,0,,
2010-2012,Trinity,223,Junction City/Salyer,Frontier,BLACK,0,0,PBHP,,0,,
2010-2012,Trinity,223,Junction City/Salyer,Frontier,HISP,21,0,ABR,,0,,
2010-2012,Trinity,223,Junction City/Salyer,Frontier,HISP,21,0,PRB,,0,,
2010-2012,Trinity,223,Junction City/Salyer,Frontier,HISP,21,0,PBHP,,0,,
2010-2012,Trinity,224,Douglas City/Lewiston/Trinity Center/Weaverville,Frontier,ASIAN,38,0,ABR,,0,,
2010-2012,Trinity,224,Douglas City/Lewiston/Trinity Center/Weaverville,Frontier,ASIAN,38,0,PRB,,0,,
2010-2012,Trinity,224,Douglas City/Lewiston/Trinity Center/Weaverville,Frontier,ASIAN,38,0,PBHP,,0,,
2010-2012,Trinity,224,Douglas City/Lewiston/Trinity Center/Weaverville,Frontier,BLACK,0,0,ABR,,0,,
2010-2012,Trinity,224,Douglas City/Lewiston/Trinity Center/Weaverville,Frontier,BLACK,0,0,PRB,,0,,
2010-2012,Trinity,224,Douglas City/Lewiston/Trinity Center/Weaverville,Frontier,BLACK,0,0,PBHP,,0,,
2010-2012,Trinity,224,Douglas City/Lewiston/Trinity Center/Weaverville,Frontier,HISP,112,0,ABR,,0,,
2010-2012,Trinity,224,Douglas City/Lewiston/Trinity Center/Weaverville,Frontier,HISP,112,0,PRB,,0,,
2010-2012,Trinity,224,Douglas City/Lewiston/Trinity Center/Weaverville,Frontier,HISP,112,0,PBHP,,0,,
2010-2012,Trinity,225,Forest Glen/Hayfork/Hyampom/Peanut,Frontier,ASIAN,0,0,ABR,,0,,
2010-2012,Trinity,225,Forest Glen/Hayfork/Hyampom/Peanut,Frontier,ASIAN,0,0,PRB,,0,,
2010-2012,Trinity,225,Forest Glen/Hayfork/Hyampom/Peanut,Frontier,ASIAN,0,0,PBHP,,0,,
2010-2012,Trinity,225,Forest Glen/Hayfork/Hyampom/Peanut,Frontier,BLACK,0,0,ABR,,0,,
2010-2012,Trinity,225,Forest Glen/Hayfork/Hyampom/Peanut,Frontier,BLACK,0,0,PRB,,0,,
2010-2012,Trinity,225,Forest Glen/Hayfork/Hyampom/Peanut,Frontier,BLACK,0,0,PBHP,,0,,
2010-2012,Trinity,225,Forest Glen/Hayfork/Hyampom/Peanut,Frontier,HISP,33,0,ABR,,0,,
2010-2012,Trinity,225,Forest Glen/Hayfork/Hyampom/Peanut,Frontier,HISP,33,0,PRB,,0,,
2010-2012,Trinity,225,Forest Glen/Hayfork/Hyampom/Peanut,Frontier,HISP,33,0,PBHP,,0,,
2010-2012,Trinity,226,Kettenpom/Mad River/Ruth/Xenia,Frontier,ASIAN,0,0,ABR,,0,,
2010-2012,Trinity,226,Kettenpom/Mad River/Ruth/Xenia,Frontier,ASIAN,0,0,PRB,,0,,
2010-2012,Trinity,226,Kettenpom/Mad River/Ruth/Xenia,Frontier,ASIAN,0,0,PBHP,,0,,
2010-2012,Trinity,226,Kettenpom/Mad River/Ruth/Xenia,Frontier,BLACK,0,0,ABR,,0,,
2010-2012,Trinity,226,Kettenpom/Mad River/Ruth/Xenia,Frontier,BLACK,0,0,PRB,,0,,
2010-2012,Trinity,226,Kettenpom/Mad River/Ruth/Xenia,Frontier,BLACK,0,0,PBHP,,0,,
2010-2012,Trinity,226,Kettenpom/Mad River/Ruth/Xenia,Frontier,HISP,12,0,ABR,,0,,
2010-2012,Trinity,226,Kettenpom/Mad River/Ruth/Xenia,Frontier,HISP,12,0,PRB,,0,,
2010-2012,Trinity,226,Kettenpom/Mad River/Ruth/Xenia,Frontier,HISP,12,0,PBHP,,0,,
2010-2012,Tulare,227.1,Dinuba,Urban,BLACK,0,0,ABR,,0,,
2010-2012,Tulare,227.1,Dinuba,Urban,BLACK,0,0,PRB,,0,,
2010-2012,Tulare,227.1,Dinuba,Urban,BLACK,0,0,PBHP,,0,,
2010-2012,Tulare,227.2,Cutler-Orosi,Urban,BLACK,3,0,ABR,,0,,
2010-2012,Tulare,227.2,Cutler-Orosi,Urban,BLACK,3,0,PRB,,0,,
2010-2012,Tulare,227.2,Cutler-Orosi,Urban,BLACK,3,0,PBHP,,0,,
2010-2012,Tulare,228.1,Ivanhoe/Woodlake,Rural,ASIAN,3,0,ABR,,0,,
2010-2012,Tulare,228.1,Ivanhoe/Woodlake,Rural,ASIAN,3,0,PRB,,0,,
2010-2012,Tulare,228.1,Ivanhoe/Woodlake,Rural,ASIAN,3,0,PBHP,,0,,
2010-2012,Tulare,228.1,Ivanhoe/Woodlake,Rural,BLACK,12,0,ABR,,0,,
2010-2012,Tulare,228.1,Ivanhoe/Woodlake,Rural,BLACK,12,0,PRB,,0,,
2010-2012,Tulare,228.1,Ivanhoe/Woodlake,Rural,BLACK,12,0,PBHP,,0,,
2010-2012,Tulare,228.2,Exeter/Lemon Cove/Lindsay/Strathmore,Rural,BLACK,15,0,ABR,,0,,
2010-2012,Tulare,228.2,Exeter/Lemon Cove/Lindsay/Strathmore,Rural,BLACK,15,0,PRB,,0,,
2010-2012,Tulare,228.2,Exeter/Lemon Cove/Lindsay/Strathmore,Rural,BLACK,15,0,PBHP,,0,,
2010-2012,Tulare,229,Three Rivers,Frontier,ASIAN,3,0,ABR,,0,,
2010-2012,Tulare,229,Three Rivers,Frontier,ASIAN,3,0,PRB,,0,,
2010-2012,Tulare,229,Three Rivers,Frontier,ASIAN,3,0,PBHP,,0,,
2010-2012,Tulare,229,Three Rivers,Frontier,BLACK,3,0,ABR,,0,,
2010-2012,Tulare,229,Three Rivers,Frontier,BLACK,3,0,PRB,,0,,
2010-2012,Tulare,229,Three Rivers,Frontier,BLACK,3,0,PBHP,,0,,
2010-2012,El Dorado,23.1,Cameron Park/El Dorado Hills/Shingle Springs,Urban,BLACK,115,0,ABR,,0,,
2010-2012,El Dorado,23.1,Cameron Park/El Dorado Hills/Shingle Springs,Urban,BLACK,115,0,PRB,,0,,
2010-2012,El Dorado,23.1,Cameron Park/El Dorado Hills/Shingle Springs,Urban,BLACK,115,0,PBHP,,0,,
2010-2012,El Dorado,23.2,Camino/Pollock Pines,Rural,ASIAN,26,0,ABR,,0,,
2010-2012,El Dorado,23.2,Camino/Pollock Pines,Rural,ASIAN,26,0,PRB,,0,,
2010-2012,El Dorado,23.2,Camino/Pollock Pines,Rural,ASIAN,26,0,PBHP,,0,,
2010-2012,El Dorado,23.2,Camino/Pollock Pines,Rural,BLACK,4,0,ABR,,0,,
2010-2012,El Dorado,23.2,Camino/Pollock Pines,Rural,BLACK,4,0,PRB,,0,,
2010-2012,El Dorado,23.2,Camino/Pollock Pines,Rural,BLACK,4,0,PBHP,,0,,
2010-2012,El Dorado,23.3,Cool/Diamond Springs/Latrobe/Pilot Hill/Placerville,Rural,BLACK,11,0,ABR,,0,,
2010-2012,El Dorado,23.3,Cool/Diamond Springs/Latrobe/Pilot Hill/Placerville,Rural,BLACK,11,0,PRB,,0,,
2010-2012,El Dorado,23.3,Cool/Diamond Springs/Latrobe/Pilot Hill/Placerville,Rural,BLACK,11,0,PBHP,,0,,
2010-2012,Tulare,232,Springville,Frontier,ASIAN,14,0,ABR,,0,,
2010-2012,Tulare,232,Springville,Frontier,ASIAN,14,0,PRB,,0,,
2010-2012,Tulare,232,Springville,Frontier,ASIAN,14,0,PBHP,,0,,
2010-2012,Tulare,232,Springville,Frontier,BLACK,3,0,ABR,,0,,
2010-2012,Tulare,232,Springville,Frontier,BLACK,3,0,PRB,,0,,
2010-2012,Tulare,232,Springville,Frontier,BLACK,3,0,PBHP,,0,,
2010-2012,Tuolumne,234.1,Chinese Camp,Rural,ASIAN,0,0,ABR,,0,,
2010-2012,Tuolumne,234.1,Chinese Camp,Rural,ASIAN,0,0,PRB,,0,,
2010-2012,Tuolumne,234.1,Chinese Camp,Rural,ASIAN,0,0,PBHP,,0,,
2010-2012,Tuolumne,234.1,Chinese Camp,Rural,BLACK,2,0,ABR,,0,,
2010-2012,Tuolumne,234.1,Chinese Camp,Rural,BLACK,2,0,PRB,,0,,
2010-2012,Tuolumne,234.1,Chinese Camp,Rural,BLACK,2,0,PBHP,,0,,
2010-2012,Tuolumne,234.2,Columbia/Jamestown/Sonora,Rural,ASIAN,21,0,ABR,,0,,
2010-2012,Tuolumne,234.2,Columbia/Jamestown/Sonora,Rural,ASIAN,21,0,PRB,,0,,
2010-2012,Tuolumne,234.2,Columbia/Jamestown/Sonora,Rural,ASIAN,21,0,PBHP,,0,,
2010-2012,Tuolumne,234.2,Columbia/Jamestown/Sonora,Rural,BLACK,15,0,ABR,,0,,
2010-2012,Tuolumne,234.2,Columbia/Jamestown/Sonora,Rural,BLACK,15,0,PRB,,0,,
2010-2012,Tuolumne,234.2,Columbia/Jamestown/Sonora,Rural,BLACK,15,0,PBHP,,0,,
2010-2012,Tuolumne,235,Big Oak Flat/Groveland,Frontier,ASIAN,0,0,ABR,,0,,
2010-2012,Tuolumne,235,Big Oak Flat/Groveland,Frontier,ASIAN,0,0,PRB,,0,,
2010-2012,Tuolumne,235,Big Oak Flat/Groveland,Frontier,ASIAN,0,0,PBHP,,0,,
2010-2012,Tuolumne,235,Big Oak Flat/Groveland,Frontier,BLACK,0,0,ABR,,0,,
2010-2012,Tuolumne,235,Big Oak Flat/Groveland,Frontier,BLACK,0,0,PRB,,0,,
2010-2012,Tuolumne,235,Big Oak Flat/Groveland,Frontier,BLACK,0,0,PBHP,,0,,
2010-2012,Tuolumne,236,East Sonora/Mi-Wuk Village/Soulsbyville/Tuolumne City/Twain Harte,Rural,ASIAN,40,0,ABR,,0,,
2010-2012,Tuolumne,236,East Sonora/Mi-Wuk Village/Soulsbyville/Tuolumne City/Twain Harte,Rural,ASIAN,40,0,PRB,,0,,
2010-2012,Tuolumne,236,East Sonora/Mi-Wuk Village/Soulsbyville/Tuolumne City/Twain Harte,Rural,ASIAN,40,0,PBHP,,0,,
2010-2012,Tuolumne,236,East Sonora/Mi-Wuk Village/Soulsbyville/Tuolumne City/Twain Harte,Rural,BLACK,8,0,ABR,,0,,
2010-2012,Tuolumne,236,East Sonora/Mi-Wuk Village/Soulsbyville/Tuolumne City/Twain Harte,Rural,BLACK,8,0,PRB,,0,,
2010-2012,Tuolumne,236,East Sonora/Mi-Wuk Village/Soulsbyville/Tuolumne City/Twain Harte,Rural,BLACK,8,0,PBHP,,0,,
2010-2012,Ventura,237,Fillmore/Los Padres National Forest/Piru/Santa Paula/Saticoy,Rural,ASIAN,76,0,ABR,,0,,
2010-2012,Ventura,237,Fillmore/Los Padres National Forest/Piru/Santa Paula/Saticoy,Rural,ASIAN,76,0,PRB,,0,,
2010-2012,Ventura,237,Fillmore/Los Padres National Forest/Piru/Santa Paula/Saticoy,Rural,ASIAN,76,0,PBHP,,0,,
2010-2012,Ventura,238,Meiners Oaks/Oak View/Ojai,Rural,ASIAN,66,0,ABR,,0,,
2010-2012,Ventura,238,Meiners Oaks/Oak View/Ojai,Rural,ASIAN,66,0,PRB,,0,,
2010-2012,Ventura,238,Meiners Oaks/Oak View/Ojai,Rural,ASIAN,66,0,PBHP,,0,,
