YEAR,COUNTY,MSSA_ID,MSSA_NAME,MSSA_TYPE,Race_ethnicity,Population,Adolescent_births,Indicator,Annotation,Indicator_rate,Indicator_ll,Indicator_ul
2010-2012,Butte,11,Berry Creek/Brownsville/Concow/Feather Falls/Forbestown,Frontier,ASIAN,7,0,ABR,,0,,
2010-2012,Butte,11,Berry Creek/Brownsville/Concow/Feather Falls/Forbestown,Frontier,ASIAN,7,0,PRB,,0,,
2010-2012,Butte,11,Berry Creek/Brownsville/Concow/Feather Falls/Forbestown,Frontier,ASIAN,7,0,PBHP,,0,,
2010-2012,Butte,11,Berry Creek/Brownsville/Concow/Feather Falls/Forbestown,Frontier,BLACK,3,0,ABR,,0,,
2010-2012,Butte,11,Berry Creek/Brownsville/Concow/Feather Falls/Forbestown,Frontier,BLACK,3,0,PRB,,0,,
2010-2012,Butte,11,Berry Creek/Brownsville/Concow/Feather Falls/Forbestown,Frontier,BLACK,3,0,PBHP,,0,,
2010-2012,Napa,111.1,Angwin/Deer Park/St. Helena,Rural,ASIAN,178,0,ABR,,0,,
2010-2012,Napa,111.1,Angwin/Deer Park/St. Helena,Rural,ASIAN,178,0,PRB,,0,,
2010-2012,Napa,111.1,Angwin/Deer Park/St. Helena,Rural,ASIAN,178,0,PBHP,,0,,
2010-2012,Napa,111.1,Angwin/Deer Park/St. Helena,Rural,BLACK,39,0,ABR,,0,,
2010-2012,Napa,111.1,Angwin/Deer Park/St. Helena,Rural,BLACK,39,0,PRB,,0,,
2010-2012,Napa,111.1,Angwin/Deer Park/St. Helena,Rural,BLACK,39,0,PBHP,,0,,
2010-2012,Napa,111.2,Calistoga,Rural,ASIAN,0,0,ABR,,0,,
2010-2012,Napa,111.2,Calistoga,Rural,ASIAN,0,0,PRB,,0,,
2010-2012,Napa,111.2,Calistoga,Rural,ASIAN,0,0,PBHP,,0,,
2010-2012,Napa,111.2,Calistoga,Rural,BLACK,0,0,ABR,,0,,
2010-2012,Napa,111.2,Calistoga,Rural,BLACK,0,0,PRB,,0,,
2010-2012,Napa,111.2,Calistoga,Rural,BLACK,0,0,PBHP,,0,,
2010-2012,Napa,111.3,Berryessa,Frontier,ASIAN,0,0,ABR,,0,,
2010-2012,Napa,111.3,Berryessa,Frontier,ASIAN,0,0,PRB,,0,,
2010-2012,Napa,111.3,Berryessa,Frontier,ASIAN,0,0,PBHP,,0,,
2010-2012,Napa,111.3,Berryessa,Frontier,BLACK,0,0,ABR,,0,,
2010-2012,Napa,111.3,Berryessa,Frontier,BLACK,0,0,PRB,,0,,
2010-2012,Napa,111.3,Berryessa,Frontier,BLACK,0,0,PBHP,,0,,
